id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,user_location,status_url,entities_str
1476481285208039425,19_h04,"RT @BlogLeste: Os membros mais notórios do grupo White Rose, de inspiração católica, foram Sophie Scholl, Hans Scholl, Alexander Schmorell, Willi Graf, Christoph Probst e o Prof. Kurt Huber. Todos eles foram guilhotinados pela Gestapo em 1943 depois de Sophie ser presa com panfletos antinazis. https://t.co/7A0Q1Keai5",Thu Dec 30 09:12:24 +0000 2021,30/12/2021 09:12:24,,,,,1123668542472241153,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1325053343807512578/J3LuhiMm_normal.jpg,36,102,"Rua Vi€ira, Lisboa, Portugal",http://twitter.com/19_h04/statuses/1476481285208039425,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""BlogLeste"",""name"":""BlogDeLeste 👑 🔴⚪"",""id"":1004414640842051600,""id_str"":""1004414640842051584"",""indices"":[3,13]}],""urls"":[]}"
1476462940383547394,ustvmedia,"@BeauTFC Thomas Paine
George Orwell
Jesus of Nazareth
Frederick Douglass
Joe Strummer
Sophie Scholl &amp; the White Rose Society
Julian Assange
Pretty much anyone &amp; everyone who stands up for human dignity and the authority of knowledge over ignorance and oppression.",Thu Dec 30 07:59:30 +0000 2021,30/12/2021 07:59:30,,,1056759055795081218,BeauTFC,245092865,1476442951165247490,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1268213005369688065/7GYCVkM7_normal.jpg,363,429,United States,http://twitter.com/ustvmedia/statuses/1476462940383547394,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""BeauTFC"",""name"":""Beau of The Fifth Column"",""id"":1056759055795081200,""id_str"":""1056759055795081218"",""indices"":[0,8]}],""urls"":[]}"
1476401311025287170,alberta_rebel,"RT @historydefined: Pictured here are Hans Scholl, Sophie Scholl, and Christoph Probst who were all part of the non-violent student resistance group called ""white rose"" in Germany, in 1942

78 years ago today, all three were convicted of treason and executed by the Gestapo. https://t.co/b8sVHXMs9Q",Thu Dec 30 03:54:37 +0000 2021,30/12/2021 03:54:37,,,,,1383073930475315203,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1408953875491540992/KXh5H06i_normal.jpg,3594,5000,"Edmonton, Alberta",http://twitter.com/alberta_rebel/statuses/1476401311025287170,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""historydefined"",""name"":""History Defined"",""id"":728409566338146300,""id_str"":""728409566338146304"",""indices"":[3,18]}],""urls"":[]}"
1476395002108465153,marcody8,"RT @historydefined: Pictured here are Hans Scholl, Sophie Scholl, and Christoph Probst who were all part of the non-violent student resistance group called ""white rose"" in Germany, in 1942

78 years ago today, all three were convicted of treason and executed by the Gestapo. https://t.co/b8sVHXMs9Q",Thu Dec 30 03:29:33 +0000 2021,30/12/2021 03:29:33,,,,,3092438314,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/617093374777163776/gJG2a6PA_normal.jpg,5413,5804,"Nova Scotia, Canada",http://twitter.com/marcody8/statuses/1476395002108465153,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""historydefined"",""name"":""History Defined"",""id"":728409566338146300,""id_str"":""728409566338146304"",""indices"":[3,18]}],""urls"":[]}"
1476395002108465153,marcody8,"RT @historydefined: Pictured here are Hans Scholl, Sophie Scholl, and Christoph Probst who were all part of the non-violent student resistance group called ""white rose"" in Germany, in 1942

78 years ago today, all three were convicted of treason and executed by the Gestapo. https://t.co/b8sVHXMs9Q",Thu Dec 30 03:29:33 +0000 2021,30/12/2021 03:29:33,,,,,3092438314,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/617093374777163776/gJG2a6PA_normal.jpg,5413,5804,"Nova Scotia, Canada",http://twitter.com/marcody8/statuses/1476395002108465153,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""historydefined"",""name"":""History Defined"",""id"":728409566338146300,""id_str"":""728409566338146304"",""indices"":[3,18]}],""urls"":[]}"
1476376218421186563,nhighlands7,"RT @historydefined: Pictured here are Hans Scholl, Sophie Scholl, and Christoph Probst who were all part of the non-violent student resistance group called ""white rose"" in Germany, in 1942

78 years ago today, all three were convicted of treason and executed by the Gestapo. https://t.co/b8sVHXMs9Q",Thu Dec 30 02:14:54 +0000 2021,30/12/2021 02:14:54,,,,,1432919429831020552,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1432920101708197893/eau7A2xi_normal.jpg,4712,4381,United States,http://twitter.com/nhighlands7/statuses/1476376218421186563,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""historydefined"",""name"":""History Defined"",""id"":728409566338146300,""id_str"":""728409566338146304"",""indices"":[3,18]}],""urls"":[]}"
1476369499729260556,PacNWCathWriter,"RT @historydefined: Pictured here are Hans Scholl, Sophie Scholl, and Christoph Probst who were all part of the non-violent student resistance group called ""white rose"" in Germany, in 1942

78 years ago today, all three were convicted of treason and executed by the Gestapo. https://t.co/xQfayzUwJx",Thu Dec 30 01:48:13 +0000 2021,30/12/2021 01:48:13,,,,,245067041,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1473508992735272962/LSR2LGwI_normal.jpg,4451,5000,"Monmouth, OR",http://twitter.com/PacNWCathWriter/statuses/1476369499729260556,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""historydefined"",""name"":""History Defined"",""id"":728409566338146300,""id_str"":""728409566338146304"",""indices"":[3,18]}],""urls"":[]}"
1476350355793457158,courageousgirl2,"RT @historydefined: Pictured here are Hans Scholl, Sophie Scholl, and Christoph Probst who were all part of the non-violent student resistance group called ""white rose"" in Germany, in 1942

78 years ago today, all three were convicted of treason and executed by the Gestapo. https://t.co/b8sVHXMs9Q",Thu Dec 30 00:32:08 +0000 2021,30/12/2021 00:32:08,,,,,256285408,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1011423155632660480/0CdJWC9G_normal.jpg,20173,18789,,http://twitter.com/courageousgirl2/statuses/1476350355793457158,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""historydefined"",""name"":""History Defined"",""id"":728409566338146300,""id_str"":""728409566338146304"",""indices"":[3,18]}],""urls"":[]}"
1476331175656321027,truebluej,"“We carry all our standards within ourselves, only we don’t look for them closely enough. Perhaps because they are the severest standards.” - Sophie Scholl, nazi resister, member of the white rose. Beheaded for speaking up.",Wed Dec 29 23:15:55 +0000 2021,29/12/2021 23:15:55,,,,,299858077,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1208494519894691840/Rrojtu-5_normal.jpg,1868,5001,Springfield,http://twitter.com/truebluej/statuses/1476331175656321027,"{""hashtags"":[],""symbols"":[],""user_mentions"":[],""urls"":[]}"
1476329345526517762,SamsonVerma,"RT @historydefined: Pictured here are Hans Scholl, Sophie Scholl, and Christoph Probst who were all part of the non-violent student resistance group called ""white rose"" in Germany, in 1942

78 years ago today, all three were convicted of treason and executed by the Gestapo. https://t.co/b8sVHXMs9Q",Wed Dec 29 23:08:39 +0000 2021,29/12/2021 23:08:39,,,,,831435433,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1434245233554898946/6hfb5MIK_normal.jpg,638,1181,"Rome, Latium",http://twitter.com/SamsonVerma/statuses/1476329345526517762,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""historydefined"",""name"":""History Defined"",""id"":728409566338146300,""id_str"":""728409566338146304"",""indices"":[3,18]}],""urls"":[]}"
