id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,user_location,status_url,entities_str
1470138543410454533,HansSmit2,"RT @historydefined: Pictured here are Hans Scholl, Sophie Scholl, and Christoph Probst who were all part of the non-violent student resistance group called ""white rose"" in Germany, in 1942

78 years ago today, all three were convicted of treason and executed by the Gestapo. https://t.co/b8sVHXMs9Q",Sun Dec 12 21:08:37 +0000 2021,12/12/2021 21:08:37,,,,,1058063091097841664,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1337095403259506692/zlf3713z_normal.jpg,1655,4157,"Derry, Maine",http://twitter.com/HansSmit2/statuses/1470138543410454533,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""historydefined"",""name"":""History Defined"",""id"":728409566338146300,""id_str"":""728409566338146304"",""indices"":[3,18]}],""urls"":[]}"
1470137715513389057,shalomegrace1,"Sophie Scholl - partly responsible for stopping WWII. 

A copy of a White Rose leaflet was smuggled into the UK. During summer ‘43, allied aircraft dropped millions of copies over German fronts. 

Causing young soldiers to drop their guns and return home.

https://t.co/3HWbQRRyyl https://t.co/MaA6Wbqdpx",Sun Dec 12 21:05:19 +0000 2021,12/12/2021 21:05:19,,,,,1215379886887428096,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1215385418314596352/ETe3pKLD_normal.jpg,1128,1044,,http://twitter.com/shalomegrace1/statuses/1470137715513389057,"{""hashtags"":[],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/3HWbQRRyyl"",""expanded_url"":""https://www.thoughtco.com/biography-of-sophie-scholl-4843206"",""display_url"":""thoughtco.com/biography-of-s…"",""indices"":[257,280]},{""url"":""https://t.co/MaA6Wbqdpx"",""expanded_url"":""https://twitter.com/katechamberlay2/status/1469588163056353282"",""display_url"":""twitter.com/katechamberlay…"",""indices"":[281,304]}]}"
1470135347698978820,TeeBlas,"RT @vintagestuff4: Sophie Scholl, founder of the White Rose student resistance group during the Nazi Regime, arrested for distributing anti-Nazi leaflets with her brother, executed by guillotine at age 22 for high treason. She would've been 100 this year. https://t.co/F7jL5yAfp7",Sun Dec 12 20:55:55 +0000 2021,12/12/2021 20:55:55,,,,,2236806559,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1284359947099283457/w6l8x4wq_normal.jpg,141,1396,,http://twitter.com/TeeBlas/statuses/1470135347698978820,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""vintagestuff4"",""name"":""vintage.stuff"",""id"":1385988471362396200,""id_str"":""1385988471362396163"",""indices"":[3,17]}],""urls"":[]}"
1470131299839008770,bodger_the,"RT @StephenCorrySvl: @KateChamberlay2 Yes, Sophie Scholl, and other members of the White Rose, were and are an inspiration. 
But, just for the historical record, she wasn't guillotined in December, but in February. 
My pic of the graves of her brother Hans (L), Sophie, &amp; their friend Christoph (R) https://t.co/1Ot24Qil6i",Sun Dec 12 20:39:50 +0000 2021,12/12/2021 20:39:50,,,,,1321879107567820800,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1378783650867724294/PphmeFVm_normal.jpg,1778,3405,Stockpot UK,http://twitter.com/bodger_the/statuses/1470131299839008770,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""StephenCorrySvl"",""name"":""Stephen Corry"",""id"":1001498767525335000,""id_str"":""1001498767525335040"",""indices"":[3,19]},{""screen_name"":""KateChamberlay2"",""name"":""Lady Kate Chamberlayne"",""id"":1297473626342596600,""id_str"":""1297473626342596608"",""indices"":[21,37]}],""urls"":[]}"
1470130938910842890,ElMandjo,"RT @historydefined: Pictured here are Hans Scholl, Sophie Scholl, and Christoph Probst who were all part of the non-violent student resistance group called ""white rose"" in Germany, in 1942

78 years ago today, all three were convicted of treason and executed by the Gestapo. https://t.co/b8sVHXMs9Q",Sun Dec 12 20:38:24 +0000 2021,12/12/2021 20:38:24,,,,,26127240,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",http://pbs.twimg.com/profile_images/1424495593796345857/-nlanY_2_normal.jpg,531,2117,metropolitan Amsterdam,http://twitter.com/ElMandjo/statuses/1470130938910842890,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""historydefined"",""name"":""History Defined"",""id"":728409566338146300,""id_str"":""728409566338146304"",""indices"":[3,18]}],""urls"":[]}"
1470130938910842890,ElMandjo,"RT @historydefined: Pictured here are Hans Scholl, Sophie Scholl, and Christoph Probst who were all part of the non-violent student resistance group called ""white rose"" in Germany, in 1942

78 years ago today, all three were convicted of treason and executed by the Gestapo. https://t.co/b8sVHXMs9Q",Sun Dec 12 20:38:24 +0000 2021,12/12/2021 20:38:24,,,,,26127240,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",http://pbs.twimg.com/profile_images/1424495593796345857/-nlanY_2_normal.jpg,531,2117,metropolitan Amsterdam,http://twitter.com/ElMandjo/statuses/1470130938910842890,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""historydefined"",""name"":""History Defined"",""id"":728409566338146300,""id_str"":""728409566338146304"",""indices"":[3,18]}],""urls"":[]}"
1470096140330835969,RealSheilaD,"RT @vintagestuff4: Sophie Scholl, founder of the White Rose student resistance group during the Nazi Regime, arrested for distributing anti-Nazi leaflets with her brother, executed by guillotine at age 22 for high treason. She would've been 100 this year. https://t.co/F7jL5yAfp7",Sun Dec 12 18:20:07 +0000 2021,12/12/2021 18:20:07,,,,,967579465390977024,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1417520796050857994/p9qYGdmK_normal.jpg,270,708,,http://twitter.com/RealSheilaD/statuses/1470096140330835969,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""vintagestuff4"",""name"":""vintage.stuff"",""id"":1385988471362396200,""id_str"":""1385988471362396163"",""indices"":[3,17]}],""urls"":[]}"
1470083630798147586,Finsonly1,"RT @vintagestuff4: Sophie Scholl, founder of the White Rose student resistance group during the Nazi Regime, arrested for distributing anti-Nazi leaflets with her brother, executed by guillotine at age 22 for high treason. She would've been 100 this year. https://t.co/F7jL5yAfp7",Sun Dec 12 17:30:25 +0000 2021,12/12/2021 17:30:25,,,,,1355907422498521091,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1410843873442729984/MyoM-1hU_normal.jpg,220,416,Quebec,http://twitter.com/Finsonly1/statuses/1470083630798147586,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""vintagestuff4"",""name"":""vintage.stuff"",""id"":1385988471362396200,""id_str"":""1385988471362396163"",""indices"":[3,17]}],""urls"":[]}"
1470080216613756934,AlexStarling77,"RT @vintagestuff4: Sophie Scholl, founder of the White Rose student resistance group during the Nazi Regime, arrested for distributing anti-Nazi leaflets with her brother, executed by guillotine at age 22 for high treason. She would've been 100 this year. https://t.co/F7jL5yAfp7",Sun Dec 12 17:16:51 +0000 2021,12/12/2021 17:16:51,,,,,276000439,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1297266536/Alex_normal.jpg,1000,1157,London,http://twitter.com/AlexStarling77/statuses/1470080216613756934,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""vintagestuff4"",""name"":""vintage.stuff"",""id"":1385988471362396200,""id_str"":""1385988471362396163"",""indices"":[3,17]}],""urls"":[]}"
1470079736927985672,annejones6060,"RT @historydefined: Pictured here are Hans Scholl, Sophie Scholl, and Christoph Probst who were all part of the non-violent student resistance group called ""white rose"" in Germany, in 1942

78 years ago today, all three were convicted of treason and executed by the Gestapo. https://t.co/b8sVHXMs9Q",Sun Dec 12 17:14:56 +0000 2021,12/12/2021 17:14:56,,,,,772906760327852033,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",http://pbs.twimg.com/profile_images/1381715013560320003/JStabdO-_normal.jpg,327,172,Hants.orig.from London ,http://twitter.com/annejones6060/statuses/1470079736927985672,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""historydefined"",""name"":""History Defined"",""id"":728409566338146300,""id_str"":""728409566338146304"",""indices"":[3,18]}],""urls"":[]}"
